Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1303908;São Paulo de Olivença (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303957;São Sebastião do Uatumã (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304005;Silves (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304062;Tabatinga (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304104;Tapauá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304203;Tefé (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304237;Tonantins (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304260;Uarini (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304302;Urucará (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304401;Urucurituba (AM);-;-;-;1000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400027;Amajari (RR);-;-;-;-;-;-;-;-;-;-;-;-;2460;-;-;-;-;-;3000;3096
MU;1400050;Alto Alegre (RR);-;2200;2800;2800;2900;2900;2800;2800;2800;2800;2800;2100;2500;2800;1989;2800;2700;2700;3174;3204
MU;1400100;Boa Vista (RR);-;2200;2800;2800;2900;2478;2800;2800;2800;2800;3000;2100;2100;2800;2899;2900;2900;2850;3120;3378
MU;1400159;Bonfim (RR);-;2200;2800;2800;2900;2900;2800;2800;2800;2800;2500;2100;2460;2800;2423;2700;2780;2930;3276;3582
MU;1400175;Cantá (RR);-;2200;2800;2800;2900;2900;-;-;2800;2800;2800;2800;2460;2800;2080;3000;3000;3000;2364;3210
MU;1400209;Caracaraí (RR);-;-;2800;2800;2900;2900;-;-;-;-;-;-;-;-;-;-;-;-;2237;3600
MU;1400233;Caroebe (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400282;Iracema (RR);-;-;-;-;-;-;-;-;-;-;-;-;2126;2800;2852;2864;2800;2800;3294;3500
