Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Pa-Curionopolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Curralinho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Curua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Curuca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Dom Eliseu;66;56;50;33;19;16;9;10;7;9;1;0;1;0;0;2
Pa-Eldorado do Carajas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Faro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Floresta do Araguaia;6;6;6;5;3;2;2;2;0;0;0;0;0;0;0;0
Pa-Garrafao do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Goianesia do Para;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Gurupa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Igarape-Acu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Igarape-Miri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Inhangapi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ipixuna do Para;10;8;6;4;3;2;1;1;1;0;0;0;0;0;0;0
Pa-Irituia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Itaituba;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Itupiranga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Jacareacanga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Jacunda;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Pa-Juruti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Limoeiro do Ajuru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Mae do Rio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Magalhaes Barata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Maraba;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1
Pa-Maracana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Marapanim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Marituba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Medicilandia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Melgaco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Mocajuba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Moju;5;4;1;1;1;2;1;0;0;0;0;0;0;0;0;0
Pa-Mojui dos Campos;13;9;9;7;5;4;3;0;0;0;0;0;0;0;0;0
Pa-Monte Alegre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Muana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Nova Esperanca do Piria;6;4;4;0;0;0;1;1;0;0;0;0;0;0;0;0
Pa-Nova Ipixuna;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Pa-Nova Timboteua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Novo Progresso;12;9;8;7;7;6;6;8;3;4;4;3;1;2;2;2
Pa-Novo Repartimento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Obidos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Oeiras do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Oriximina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ourem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ourilandia do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Pacaja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
