Município;2005;2004;2003
To-Santa Maria do Tocantins;0;1;0
To-Santa Rita do Tocantins;13;12;6
To-Santa Rosa do Tocantins;31;34;24
To-Santa Tereza do Tocantins;4;3;3
To-Santa Terezinha do Tocantins;18;4;5
To-Sao Bento do Tocantins;37;29;6
To-Sao Felix do Tocantins;0;0;0
To-Sao Miguel do Tocantins;31;17;11
To-Sao Salvador do Tocantins;5;7;6
To-Sao Sebastiao do Tocantins;0;0;0
To-Sao Valerio;25;16;11
To-Silvanopolis;21;16;8
To-Sitio Novo do Tocantins;12;10;9
To-Sucupira;37;37;34
To-Taguatinga;18;10;9
To-Taipas do Tocantins;4;4;1
To-Talisma;63;28;22
To-Palmas;104;99;88
To-Tocantinia;11;22;21
To-Tocantinopolis;63;33;30
To-Tupirama;7;7;8
To-Tupiratins;9;5;7
To-Wanderlandia;39;40;27
To-Xambioa;362;274;177
To-Ignorado;0;0;0
Ma-Acailandia;571;527;340
Ma-Afonso Cunha;0;0;0
Ma-Agua Doce do Maranhao;0;0;0
Ma-Alcantara;0;0;0
Ma-Aldeias Altas;3;0;0
Ma-Altamira do Maranhao;5;3;2
Ma-Alto Alegre do Maranhao;2;2;0
Ma-Alto Alegre do Pindare;1;0;0
Ma-Alto Parnaiba;0;0;0
Ma-Amapa do Maranhao;0;0;0
Ma-Amarante do Maranhao;42;20;20
Ma-Anajatuba;0;0;0
Ma-Anapurus;0;0;0
Ma-Apicum-Acu;0;0;0
Ma-Araguana;4;2;1
Ma-Araioses;7;11;13
Ma-Arame;1;1;1
Ma-Arari;1;0;2
Ma-Axixa;0;0;0
Ma-Bacabal;264;275;216
Ma-Bacabeira;0;0;0
Ma-Bacuri;0;0;0
Ma-Bacurituba;0;0;0
Ma-Balsas;37;25;25
Ma-Barao de Grajau;0;0;0
Ma-Barra do Corda;3;0;1
Ma-Barreirinhas;0;0;0
Ma-Belagua;0;0;0
Ma-Bela Vista do Maranhao;4;4;0
Ma-Benedito Leite;0;0;0
Ma-Bequimao;7;4;8
Ma-Bernardo do Mearim;6;0;0
Ma-Boa Vista do Gurupi;0;0;0
Ma-Bom Jardim;119;73;21
Ma-Bom Jesus das Selvas;158;106;63
Ma-Bom Lugar;5;2;0
Ma-Brejo;0;0;0
Ma-Brejo de Areia;1;1;0
Ma-Buriti;0;0;0
Ma-Buriti Bravo;5;5;7
Ma-Buriticupu;10;9;2
Ma-Buritirana;11;3;3
Ma-Cachoeira Grande;0;0;0
Ma-Cajapio;0;0;0
Ma-Cajari;0;0;0
Ma-Campestre do Maranhao;11;5;0
Ma-Candido Mendes;0;0;0
Ma-Cantanhede;9;9;10
Ma-Capinzal do Norte;16;12;12
Ma-Carolina;24;17;1
Ma-Carutapera;38;47;44
Ma-Caxias;6;5;5
Ma-Cedral;0;0;0
Ma-Central do Maranhao;0;0;0
Ma-Centro do Guilherme;0;0;0
Ma-Centro Novo do Maranhao;21;19;6
Ma-Chapadinha;0;0;1
Ma-Cidelandia;68;41;43
Ma-Codo;80;65;58
Ma-Coelho Neto;6;7;7
Ma-Colinas;0;0;0
Ma-Conceicao do Lago-Acu;8;6;5
Ma-Coroata;0;0;18
Ma-Cururupu;0;0;0
Ma-Davinopolis;2;3;4
Ma-Dom Pedro;0;10;16
Ma-Duque Bacelar;0;0;0
Ma-Esperantinopolis;0;0;0
Ma-Estreito;43;36;20
Ma-Feira Nova do Maranhao;1;0;0
Ma-Fernando Falcao;0;0;0
Ma-Formosa da Serra Negra;0;0;0
Ma-Fortaleza dos Nogueiras;11;5;0
Ma-Fortuna;0;0;0
Ma-Godofredo Viana;0;0;0
Ma-Goncalves Dias;2;0;0
Ma-Governador Archer;0;0;0
Ma-Governador Edison Lobao;46;39;22
Ma-Governador Eugenio Barros;0;0;0
Ma-Governador Luiz Rocha;0;0;0
Ma-Governador Newton Bello;3;4;1
Ma-Governador Nunes Freire;0;0;0
Ma-Graca Aranha;0;0;0
Ma-Grajau;246;190;183
Ma-Guimaraes;0;0;0
Ma-Humberto de Campos;0;0;0
Ma-Icatu;0;0;0
Ma-Igarape do Meio;36;42;0
Ma-Igarape Grande;6;23;24
Ma-Imperatriz;535;487;332
Ma-Itaipava do Grajau;0;0;0
Ma-Itapecuru Mirim;8;6;13
Ma-Itinga do Maranhao;113;78;46
Ma-Jatoba;0;0;0
Ma-Jenipapo dos Vieiras;0;0;0
Ma-Joao Lisboa;70;30;24
Ma-Joselandia;0;0;0
Ma-Junco do Maranhao;3;1;0
Ma-Lago da Pedra;13;10;12
Ma-Lago do Junco;16;17;11
Ma-Lago Verde;7;6;5
Ma-Lagoa do Mato;5;4;4
Ma-Lago dos Rodrigues;1;2;0
Ma-Lagoa Grande do Maranhao;0;0;0
Ma-Lajeado Novo;2;0;0
Ma-Lima Campos;7;6;0
Ma-Loreto;0;0;0
