Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1303601;Santa Isabel do Rio Negro (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303700;Santo Antônio do Içá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-
MU;1303809;São Gabriel da Cachoeira (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303908;São Paulo de Olivença (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1303957;São Sebastião do Uatumã (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304005;Silves (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304062;Tabatinga (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304104;Tapauá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304203;Tefé (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304237;Tonantins (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304260;Uarini (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304302;Urucará (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1304401;Urucurituba (AM);-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400027;Amajari (RR);-;-;-;-;-;-;-;-;-;-;-;-;369;-;-;-;-;-;300;2678
MU;1400050;Alto Alegre (RR);-;10560;13440;11200;6960;6960;2800;2800;4760;5880;21000;10504;23800;27566;11186;40600;54000;67500;84930;114883
MU;1400100;Boa Vista (RR);-;5280;6720;5600;4060;4710;560;560;1820;3080;3300;11827;17441;15400;16030;24360;15950;19950;72138;114376
MU;1400159;Bonfim (RR);-;5280;6720;5600;4350;5800;560;560;2240;3640;14500;10219;11390;20160;13749;27000;36696;46880;50143;79137
MU;1400175;Cantá (RR);-;5280;6720;5600;3190;3190;-;-;1260;1400;1400;1400;1648;2296;2631;2010;1800;2700;4054;9261
MU;1400209;Caracaraí (RR);-;-;2800;2800;1740;1740;-;-;-;-;-;-;-;-;-;-;-;-;416;1440
MU;1400233;Caroebe (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400282;Iracema (RR);-;-;-;-;-;-;-;-;-;-;-;-;202;378;941;6300;924;1120;3959;9160
MU;1400308;Mucajaí (RR);-;-;-;-;-;-;-;-;-;-;-;-;945;1547;540;5510;720;1400;9458;15712
MU;1400407;Normandia (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400456;Pacaraima (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400472;Rorainópolis (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400506;São João da Baliza (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400605;São Luiz (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400704;Uiramutã (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500107;Abaetetuba (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
