Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1501253;Bannach (PA);171342;257085;201557;193461;165102;142813;171387;192965;195272;211401;193334;240905;231288;240080;258244;248230;255959;301030;306881;282281
MU;1501303;Barcarena (PA);1942;810;3547;3550;2159;2103;1684;1550;1200;1100;1056;987;1035;986;867;890;850;800;750;730
MU;1501402;Belém (PA);165;762;451;480;495;430;470;485;550;422;503;173;310;108;95;118;32;86;77;86
MU;1501451;Belterra (PA);13477;21017;17730;15700;9491;12200;23835;21765;20729;24136;26490;23843;23405;20842;21310;23810;22788;24507;23313;24507
MU;1501501;Benevides (PA);4950;2947;2758;2800;2036;2100;2400;2775;2417;3188;3820;2697;2801;2973;2560;2333;2369;1825;2046;2064
MU;1501576;Bom Jesus do Tocantins (PA);158357;182074;185253;192272;180735;184136;172084;176567;169293;174000;184630;183657;187307;194002;202037;205849;201920;239038;239262;250000
MU;1501600;Bonito (PA);11000;5559;9007;9290;12840;11778;13128;11524;12232;10781;10458;9255;9885;8483;8445;7233;5826;8684;9914;10248
MU;1501709;Bragança (PA);26000;12520;25215;21509;12164;10799;19282;19724;18750;21511;24868;25688;25676;27094;29928;29403;26800;31408;37572;43133
MU;1501725;Brasil Novo (PA);213054;245507;263254;259546;225866;219847;222722;206099;211000;217881;235712;241027;233652;240470;223901;230385;239470;265137;289288;319521
MU;1501758;Brejo Grande do Araguaia (PA);89800;141346;146422;113700;93800;89600;80000;79245;86300;77600;76000;82000;89000;109265;104940;104848;112494;120140;130890;132000
MU;1501782;Breu Branco (PA);20328;117375;126092;128720;146989;154338;162054;170156;129279;140792;155698;161663;153350;151332;160300;152371;132844;165653;183660;200290
MU;1501808;Breves (PA);2310;2120;2250;2278;2148;2025;2032;2102;2124;2360;2426;2294;2423;2215;2114;2008;1985;1590;1230;1100
MU;1501907;Bujaru (PA);13341;6113;8212;8620;8840;9700;6200;6266;6993;4661;4850;6482;8229;6614;6145;7207;7717;6516;6823;6115
