Município;2005;2004;2003
To-Chapada de Areia;0;0;0
To-Chapada da Natividade;0;0;0
To-Colinas do Tocantins;1;1;1
To-Combinado;0;0;0
To-Conceicao do Tocantins;0;0;0
To-Couto Magalhaes;0;0;0
To-Cristalandia;1;0;0
To-Crixas do Tocantins;0;0;0
To-Darcinopolis;0;0;0
To-Dianopolis;0;0;1
To-Divinopolis do Tocantins;0;0;0
To-Dois Irmaos do Tocantins;0;0;0
To-Duere;0;0;0
To-Esperantina;0;0;0
To-Fatima;0;0;0
To-Figueiropolis;0;0;0
To-Filadelfia;0;0;0
To-Formoso do Araguaia;0;0;0
To-Fortaleza do Tabocao;0;0;0
To-Goianorte;0;0;0
To-Goiatins;0;0;0
To-Guarai;0;0;0
To-Gurupi;4;4;4
To-Ipueiras;0;0;0
To-Itacaja;0;0;0
To-Itaguatins;0;0;0
To-Itapiratins;0;0;0
To-Itapora do Tocantins;0;0;0
To-Jau do Tocantins;0;0;0
To-Juarina;0;0;0
To-Lagoa da Confusao;0;0;0
To-Lagoa do Tocantins;0;0;0
To-Lajeado;0;0;0
To-Lavandeira;0;0;0
To-Lizarda;0;0;0
To-Luzinopolis;0;0;0
To-Marianopolis do Tocantins;0;0;0
To-Mateiros;0;0;0
To-Maurilandia do Tocantins;0;0;0
To-Miracema do Tocantins;1;1;1
To-Miranorte;1;1;0
To-Monte do Carmo;0;0;0
To-Monte Santo do Tocantins;0;0;0
To-Palmeiras do Tocantins;0;0;0
To-Muricilandia;0;0;0
To-Natividade;0;0;0
To-Nazare;0;0;0
To-Nova Olinda;0;1;1
To-Nova Rosalandia;0;0;0
To-Novo Acordo;0;0;0
To-Novo Alegre;0;0;0
To-Novo Jardim;0;0;0
To-Oliveira de Fatima;0;0;0
To-Palmeirante;0;0;0
To-Palmeiropolis;0;0;0
To-Paraiso do Tocantins;5;5;3
To-Parana;0;0;0
To-Pau D Arco;0;0;0
To-Pedro Afonso;0;0;0
To-Peixe;0;0;0
To-Pequizeiro;0;0;0
To-Colmeia;1;2;1
To-Pindorama do Tocantins;0;0;0
To-Piraque;0;0;0
To-Pium;0;0;0
To-Ponte Alta do Bom Jesus;0;0;0
To-Ponte Alta do Tocantins;0;0;0
To-Porto Alegre do Tocantins;0;0;0
To-Porto Nacional;6;6;5
To-Praia Norte;0;0;0
To-Presidente Kennedy;0;0;0
To-Pugmil;0;0;0
To-Recursolandia;0;0;0
To-Riachinho;0;0;0
To-Rio da Conceicao;0;0;0
To-Rio dos Bois;0;0;0
To-Rio Sono;0;0;0
To-Sampaio;0;0;0
To-Sandolandia;0;0;0
To-Santa Fe do Araguaia;0;0;0
To-Santa Maria do Tocantins;0;0;0
To-Santa Rita do Tocantins;0;0;0
To-Santa Rosa do Tocantins;0;0;0
To-Santa Tereza do Tocantins;0;0;0
To-Santa Terezinha do Tocantins;0;0;0
To-Sao Bento do Tocantins;0;0;0
To-Sao Felix do Tocantins;0;0;0
To-Sao Miguel do Tocantins;0;0;0
To-Sao Salvador do Tocantins;0;0;0
To-Sao Sebastiao do Tocantins;0;0;0
To-Sao Valerio;0;0;0
To-Silvanopolis;0;0;0
To-Sitio Novo do Tocantins;0;0;0
To-Sucupira;0;0;0
To-Taguatinga;0;0;0
To-Taipas do Tocantins;0;0;0
To-Talisma;0;0;0
To-Palmas;7;6;5
To-Tocantinia;0;0;0
To-Tocantinopolis;0;0;0
To-Tupirama;0;0;0
To-Tupiratins;0;0;0
To-Wanderlandia;0;0;0
To-Xambioa;0;0;0
To-Ignorado;0;0;0
Ma-Acailandia;2;2;1
Ma-Afonso Cunha;0;0;0
Ma-Agua Doce do Maranhao;0;0;0
Ma-Alcantara;0;0;0
Ma-Aldeias Altas;0;0;0
Ma-Altamira do Maranhao;0;0;0
Ma-Alto Alegre do Maranhao;0;0;0
Ma-Alto Alegre do Pindare;0;0;0
Ma-Alto Parnaiba;0;0;0
Ma-Amapa do Maranhao;0;0;0
Ma-Amarante do Maranhao;0;0;0
Ma-Anajatuba;0;0;0
Ma-Anapurus;0;0;0
Ma-Apicum-Acu;0;0;0
Ma-Araguana;0;0;0
Ma-Araioses;0;0;0
Ma-Arame;0;0;0
Ma-Arari;0;0;0
Ma-Axixa;0;0;0
Ma-Bacabal;2;3;2
Ma-Bacabeira;0;0;0
Ma-Bacuri;0;0;0
Ma-Bacurituba;0;0;0
Ma-Balsas;0;0;0
Ma-Barao de Grajau;0;0;0
Ma-Barra do Corda;1;1;1
Ma-Barreirinhas;0;0;0
Ma-Belagua;0;0;0
Ma-Bela Vista do Maranhao;0;0;0
Ma-Benedito Leite;0;0;0
Ma-Bequimao;0;0;0
Ma-Bernardo do Mearim;0;0;0
Ma-Boa Vista do Gurupi;0;0;0
Ma-Bom Jardim;0;0;0
Ma-Bom Jesus das Selvas;0;0;0
Ma-Bom Lugar;0;0;0
Ma-Brejo;0;0;0
Ma-Brejo de Areia;0;0;0
Ma-Buriti;0;0;0
Ma-Buriti Bravo;0;0;0
Ma-Buriticupu;0;0;0
Ma-Buritirana;0;0;0
Ma-Cachoeira Grande;0;0;0
Ma-Cajapio;0;0;0
Ma-Cajari;0;0;0
Ma-Campestre do Maranhao;0;0;0
Ma-Candido Mendes;0;0;0
Ma-Cantanhede;0;0;0
Ma-Capinzal do Norte;0;0;0
Ma-Carolina;0;0;0
Ma-Carutapera;0;0;0
Ma-Caxias;1;1;1
Ma-Cedral;0;0;0
Ma-Central do Maranhao;0;0;0
Ma-Centro do Guilherme;0;0;0
Ma-Centro Novo do Maranhao;0;0;0
Ma-Chapadinha;0;0;0
