Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Pa-Gurupa;0;0;0;0;0;0;0;0;0;0;0
Pa-Igarape-Acu;0;0;0;0;0;0;0;0;0;0;0
Pa-Igarape-Miri;0;0;0;0;0;0;0;0;0;0;0
Pa-Inhangapi;0;0;0;0;0;0;0;0;0;0;0
Pa-Ipixuna do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Irituia;0;0;0;0;0;0;0;0;0;0;0
Pa-Itaituba;14;9;34;41;52;48;46;0;0;0;0
Pa-Itupiranga;2;2;4;3;2;0;0;0;0;0;0
Pa-Jacareacanga;0;0;0;0;0;0;0;0;0;0;0
Pa-Jacunda;3;37;51;33;40;0;0;0;0;0;0
Pa-Juruti;0;0;0;0;0;0;0;0;0;0;0
Pa-Limoeiro do Ajuru;0;0;0;0;0;0;0;0;0;0;0
Pa-Mae do Rio;0;72;111;77;40;21;178;11;158;242;131
Pa-Magalhaes Barata;0;0;0;0;0;0;0;0;0;0;0
Pa-Maraba;1082;1165;1171;1201;1094;1056;974;1588;1544;1096;1033
Pa-Maracana;0;0;0;0;0;0;0;0;0;0;0
Pa-Marapanim;0;0;0;0;0;0;0;0;0;0;0
Pa-Marituba;0;0;0;0;0;0;0;0;0;0;0
Pa-Medicilandia;0;0;0;0;0;0;0;0;0;0;0
Pa-Melgaco;0;0;0;0;0;0;0;0;0;0;0
Pa-Mocajuba;0;0;0;0;0;0;0;0;0;0;0
Pa-Moju;0;0;0;0;0;0;0;0;0;0;0
Pa-Mojui dos Campos;0;0;0;0;0;0;0;0;0;0;0
Pa-Monte Alegre;6;0;0;2;1;0;0;0;0;0;0
Pa-Muana;0;0;0;0;0;0;0;0;0;0;0
Pa-Nova Esperanca do Piria;0;0;0;0;0;0;0;0;0;0;0
Pa-Nova Ipixuna;0;1;0;0;0;0;0;0;0;0;0
Pa-Nova Timboteua;0;0;0;0;0;0;0;0;0;0;0
Pa-Novo Progresso;14;80;8;4;5;3;5;1;0;0;0
Pa-Novo Repartimento;0;0;0;0;0;0;0;0;0;1;0
Pa-Obidos;0;0;0;0;0;0;0;0;0;0;0
Pa-Oeiras do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Oriximina;0;0;0;0;0;0;0;0;0;0;0
Pa-Ourem;0;0;0;0;0;0;0;0;0;0;0
Pa-Ourilandia do Norte;0;0;0;0;0;0;0;0;0;1;0
Pa-Pacaja;0;0;0;0;0;0;0;0;0;0;0
Pa-Palestina do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Paragominas;425;249;66;58;24;0;26;24;146;32;2
Pa-Parauapebas;86;71;61;35;54;53;38;25;38;35;37
Pa-Pau D Arco;0;0;0;0;0;0;0;0;0;0;0
Pa-Peixe-Boi;0;0;0;0;0;0;0;0;0;0;0
Pa-Picarra;0;0;0;0;0;0;0;0;0;0;0
Pa-Placas;0;0;0;0;0;0;0;0;0;0;0
Pa-Ponta de Pedras;0;0;0;0;0;0;0;0;0;0;0
Pa-Portel;0;0;0;0;0;0;0;0;0;0;0
Pa-Porto de Moz;0;0;0;0;0;0;0;0;0;0;0
Pa-Prainha;0;0;0;0;0;0;0;0;0;0;0
Pa-Primavera;0;0;0;0;0;0;0;0;0;0;0
Pa-Quatipuru;0;0;0;0;0;0;0;0;0;0;0
Pa-Redencao;756;721;655;603;524;363;601;694;795;838;1149
Pa-Rio Maria;443;479;415;408;415;365;321;322;3;274;249
Pa-Rondon do Para;8;18;15;17;15;15;14;8;6;0;0
Pa-Ruropolis;5;3;3;2;3;2;0;0;0;0;0
Pa-Salinopolis;0;0;0;0;0;0;0;0;0;0;0
Pa-Salvaterra;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Barbara do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Cruz do Arari;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Izabel do Para;65;58;183;101;79;918;215;255;290;219;267
Pa-Santa Luzia do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Maria das Barreiras;9;9;8;9;9;9;11;17;20;6;0
Pa-Santa Maria do Para;0;0;0;0;0;0;0;0;0;0;0
