Município;2021;2020;2019;2018;2017
To-Porto Alegre do Tocantins;0;0;0;0;0
To-Porto Nacional;100;89;75;75;87
To-Praia Norte;0;0;0;0;0
To-Presidente Kennedy;0;0;0;0;0
To-Pugmil;0;0;0;0;0
To-Recursolandia;0;0;0;0;0
To-Riachinho;0;0;0;0;0
To-Rio da Conceicao;0;0;0;0;0
To-Rio dos Bois;0;0;0;0;0
To-Rio Sono;0;0;0;0;0
To-Sampaio;0;0;0;0;0
To-Sandolandia;0;0;0;0;0
To-Santa Fe do Araguaia;0;0;0;0;0
To-Santa Maria do Tocantins;0;0;0;0;0
To-Santa Rita do Tocantins;0;0;0;0;0
To-Santa Rosa do Tocantins;0;0;0;0;0
To-Santa Tereza do Tocantins;0;0;0;0;0
To-Santa Terezinha do Tocantins;0;0;0;0;0
To-Sao Bento do Tocantins;0;0;0;0;0
To-Sao Felix do Tocantins;0;0;0;0;0
To-Sao Miguel do Tocantins;0;0;0;0;0
To-Sao Salvador do Tocantins;0;0;0;0;0
To-Sao Sebastiao do Tocantins;0;0;0;0;0
To-Sao Valerio;0;0;0;0;0
To-Silvanopolis;20;22;24;25;20
To-Sitio Novo do Tocantins;0;0;0;0;0
To-Sucupira;0;0;0;0;0
To-Taguatinga;0;0;0;0;0
To-Taipas do Tocantins;0;0;0;0;0
To-Talisma;0;0;0;0;0
To-Palmas;84;60;83;60;48
To-Tocantinia;1;0;0;0;3
To-Tocantinopolis;0;0;0;0;0
To-Tupirama;0;0;0;0;0
To-Tupiratins;0;0;0;0;0
To-Wanderlandia;0;0;0;0;0
To-Xambioa;1;2;3;4;3
To-Ignorado;0;0;0;0;0
Ma-Acailandia;9;13;17;32;23
Ma-Afonso Cunha;0;0;0;0;0
Ma-Agua Doce do Maranhao;0;0;0;0;0
Ma-Alcantara;0;0;0;0;0
Ma-Aldeias Altas;0;0;0;0;0
Ma-Altamira do Maranhao;0;0;0;0;0
