Município;2021;2020;2019;2018;2017
To-Itaguatins;0;0;0;0;0
To-Itapiratins;0;0;0;0;0
To-Itapora do Tocantins;0;0;0;0;0
To-Jau do Tocantins;0;0;0;0;0
To-Juarina;0;0;0;0;0
To-Lagoa da Confusao;1;1;1;2;1
To-Lagoa do Tocantins;0;0;0;0;0
To-Lajeado;0;0;0;0;0
To-Lavandeira;0;0;0;0;0
To-Lizarda;0;0;0;0;0
To-Luzinopolis;0;0;0;0;0
To-Marianopolis do Tocantins;0;0;0;0;0
To-Mateiros;1;1;1;1;1
To-Maurilandia do Tocantins;0;0;0;0;0
To-Miracema do Tocantins;1;1;1;1;1
To-Miranorte;1;1;1;1;1
To-Monte do Carmo;0;0;0;0;0
To-Monte Santo do Tocantins;0;0;0;0;0
To-Palmeiras do Tocantins;0;0;0;0;0
To-Muricilandia;0;0;0;0;0
To-Natividade;0;0;0;0;0
To-Nazare;0;0;0;0;0
To-Nova Olinda;2;2;2;2;1
To-Nova Rosalandia;0;0;0;0;0
To-Novo Acordo;1;0;0;0;0
To-Novo Alegre;0;0;0;0;0
To-Novo Jardim;0;0;0;0;0
To-Oliveira de Fatima;0;0;0;0;0
To-Palmeirante;0;0;0;0;0
To-Palmeiropolis;1;1;1;1;1
To-Paraiso do Tocantins;5;6;5;8;9
To-Parana;0;0;0;0;0
To-Pau D Arco;0;0;0;0;0
To-Pedro Afonso;1;1;1;1;1
To-Peixe;0;0;0;0;0
To-Pequizeiro;0;0;0;0;0
To-Colmeia;1;1;1;1;1
To-Pindorama do Tocantins;0;0;0;0;0
To-Piraque;0;0;0;0;0
To-Pium;0;0;0;0;0
To-Ponte Alta do Bom Jesus;0;0;0;0;0
To-Ponte Alta do Tocantins;0;0;1;1;1
To-Porto Alegre do Tocantins;0;0;0;0;0
To-Porto Nacional;4;4;4;3;2
To-Praia Norte;0;0;0;0;0
To-Presidente Kennedy;0;0;0;0;0
To-Pugmil;0;0;0;0;0
To-Recursolandia;0;0;0;0;0
To-Riachinho;0;0;0;0;0
To-Rio da Conceicao;0;0;0;0;0
To-Rio dos Bois;0;0;0;0;0
To-Rio Sono;0;0;0;0;0
To-Sampaio;0;0;0;0;0
To-Sandolandia;0;0;0;0;0
To-Santa Fe do Araguaia;0;0;0;0;0
To-Santa Maria do Tocantins;0;0;0;0;0
To-Santa Rita do Tocantins;0;0;0;0;0
To-Santa Rosa do Tocantins;0;0;0;0;0
To-Santa Tereza do Tocantins;0;0;0;0;0
To-Santa Terezinha do Tocantins;0;0;0;0;0
To-Sao Bento do Tocantins;0;0;0;0;0
To-Sao Felix do Tocantins;0;0;0;0;0
To-Sao Miguel do Tocantins;0;0;0;0;0
To-Sao Salvador do Tocantins;0;0;0;0;0
To-Sao Sebastiao do Tocantins;0;0;0;0;0
To-Sao Valerio;0;0;0;0;0
To-Silvanopolis;2;2;2;1;1
To-Sitio Novo do Tocantins;0;0;0;0;0
To-Sucupira;0;0;0;0;0
To-Taguatinga;0;0;0;0;0
To-Taipas do Tocantins;0;0;0;0;0
To-Talisma;0;0;0;0;0
To-Palmas;4;4;6;7;8
To-Tocantinia;1;0;0;1;1
To-Tocantinopolis;0;0;0;0;0
To-Tupirama;0;0;0;0;0
To-Tupiratins;0;0;0;0;0
To-Wanderlandia;0;0;0;0;0
To-Xambioa;1;1;1;1;1
To-Ignorado;0;0;0;0;0
Ma-Acailandia;1;1;2;3;3
Ma-Afonso Cunha;0;0;0;0;0
Ma-Agua Doce do Maranhao;0;0;0;0;0
Ma-Alcantara;0;0;0;0;0
Ma-Aldeias Altas;0;0;0;0;0
Ma-Altamira do Maranhao;0;0;0;0;0
Ma-Alto Alegre do Maranhao;0;0;0;0;0
Ma-Alto Alegre do Pindare;0;0;0;0;0
Ma-Alto Parnaiba;0;0;0;0;0
Ma-Amapa do Maranhao;0;0;0;0;0
