Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Ap-Pedra Branca do Amapari;0;0;0;0;0;0;0;0;0;0;0
Ap-Calcoene;0;0;0;0;0;0;0;0;0;0;0
Ap-Cutias;0;0;0;0;0;0;0;0;0;0;0
Ap-Ferreira Gomes;0;0;0;0;0;0;0;0;0;0;0
Ap-Itaubal;0;0;0;0;1;0;0;0;0;0;0
Ap-Laranjal do Jari;0;0;0;0;0;0;0;0;0;0;0
Ap-Macapa;1;1;3;1;1;2;2;1;0;0;0
Ap-Mazagao;0;0;0;0;0;0;0;0;0;0;0
Ap-Oiapoque;0;0;0;0;0;0;0;0;0;0;0
Ap-Porto Grande;1;1;1;1;0;0;0;0;0;0;0
Ap-Pracuuba;0;0;0;0;0;0;0;0;0;0;0
Ap-Santana;2;2;2;1;1;1;1;1;1;1;1
Ap-Tartarugalzinho;1;1;0;0;0;0;0;0;0;0;0
Ap-Vitoria do Jari;0;0;0;0;0;0;0;0;0;0;0
Ap-Ignorado;0;0;0;0;0;0;0;0;0;0;0
To-Abreulandia;0;0;0;0;0;0;0;0;0;0;0
To-Aguiarnopolis;1;1;1;1;1;1;1;1;1;1;0
To-Alianca do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Almas;0;0;0;0;0;0;0;0;0;0;0
To-Alvorada;1;2;2;1;1;1;2;2;2;1;0
To-Ananas;0;0;0;0;0;0;0;0;0;0;0
To-Angico;0;0;0;0;0;0;0;0;0;0;0
To-Aparecida do Rio Negro;0;0;0;0;0;0;0;0;0;0;0
To-Aragominas;0;0;0;0;0;0;0;0;0;0;0
To-Araguacema;0;0;0;0;0;0;0;0;0;0;0
To-Araguacu;0;0;1;0;0;0;0;0;0;0;0
To-Araguaina;7;5;5;4;5;6;5;6;5;6;6
To-Araguana;0;0;0;0;0;0;0;0;0;0;0
To-Araguatins;1;1;1;1;1;1;1;1;1;0;0
To-Arapoema;0;0;0;0;0;0;0;0;0;0;0
To-Arraias;0;0;0;0;0;0;0;0;0;0;0
To-Augustinopolis;1;1;1;0;1;0;0;0;0;0;0
To-Aurora do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Axixa do Tocantins;0;0;0;0;1;1;1;1;1;0;0
To-Babaculandia;0;0;0;0;0;0;0;0;0;0;0
To-Bandeirantes do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Barra do Ouro;0;0;0;0;0;0;0;0;0;0;0
To-Barrolandia;0;1;1;0;0;0;0;0;0;0;0
To-Bernardo Sayao;0;0;0;0;0;0;0;0;0;0;0
To-Bom Jesus do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Brasilandia do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Brejinho de Nazare;1;1;1;1;1;1;0;0;0;0;1
To-Buriti do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Cachoeirinha;0;0;0;0;0;0;0;0;0;0;0
To-Campos Lindos;0;0;0;0;0;0;0;0;0;0;0
To-Cariri do Tocantins;0;0;1;0;0;0;1;1;1;2;0
To-Carmolandia;0;0;0;0;0;0;0;0;0;0;0
To-Carrasco Bonito;0;0;0;0;0;0;0;0;0;0;0
To-Caseara;0;0;0;0;0;0;0;0;0;0;0
To-Centenario;0;0;0;0;0;0;0;0;0;0;0
To-Chapada de Areia;0;0;0;0;0;0;0;0;0;0;0
To-Chapada da Natividade;0;0;0;0;0;0;0;0;0;0;0
