Município;2021;2020;2019;2018;2017
Ma-Nova Olinda do Maranhao;35;27;42;46;43
Ma-Olho D Agua das Cunhas;107;99;94;91;101
Ma-Olinda Nova do Maranhao;0;0;0;0;0
Ma-Paco do Lumiar;0;0;0;0;0
Ma-Palmeirandia;1;1;1;1;1
Ma-Paraibano;3;6;4;4;5
Ma-Parnarama;178;153;163;118;127
Ma-Passagem Franca;10;3;3;6;4
Ma-Pastos Bons;0;0;0;0;0
Ma-Paulino Neves;0;0;0;0;0
Ma-Paulo Ramos;8;9;6;11;11
Ma-Pedreiras;29;28;33;28;21
Ma-Pedro do Rosario;4;3;5;6;6
Ma-Penalva;0;0;0;0;1
Ma-Peri Mirim;0;0;0;0;0
Ma-Peritoro;33;31;26;24;24
Ma-Pindare-Mirim;6;10;10;9;11
Ma-Pinheiro;9;9;16;19;14
Ma-Pio Xii;2;2;2;1;0
Ma-Pirapemas;0;0;0;2;2
Ma-Pocao de Pedras;11;9;8;16;16
Ma-Porto Franco;104;95;99;100;113
Ma-Porto Rico do Maranhao;0;0;0;0;0
Ma-Presidente Dutra;16;19;26;19;10
Ma-Presidente Juscelino;0;0;0;0;0
Ma-Presidente Medici;2;2;2;2;2
Ma-Presidente Sarney;0;0;0;0;0
Ma-Presidente Vargas;1;1;1;1;1
Ma-Primeira Cruz;0;0;0;0;0
Ma-Raposa;1;1;1;1;0
Ma-Riachao;18;29;28;24;28
Ma-Ribamar Fiquene;79;83;99;92;86
Ma-Rosario;1;0;0;0;0
Ma-Sambaiba;7;3;3;4;4
Ma-Santa Filomena do Maranhao;3;3;4;4;4
Ma-Santa Helena;9;0;0;10;9
Ma-Santa Ines;138;139;167;177;186
Ma-Santa Luzia;375;361;380;397;377
Ma-Santa Luzia do Parua;0;7;10;7;12
Ma-Santa Quiteria do Maranhao;0;0;0;0;0
Ma-Santa Rita;5;4;3;3;4
Ma-Santana do Maranhao;0;0;0;0;0
Ma-Santo Amaro do Maranhao;0;0;0;0;0
Ma-Santo Antonio dos Lopes;6;8;7;11;5
Ma-Sao Benedito do Rio Preto;0;0;0;0;0
Ma-Sao Bento;0;0;0;0;0
Ma-Sao Bernardo;1;0;2;2;4
Ma-Sao Domingos do Azeitao;0;0;0;6;5
Ma-Sao Domingos do Maranhao;4;7;4;5;5
Ma-Sao Felix de Balsas;0;0;0;0;1
Ma-Sao Francisco do Brejao;109;114;108;111;103
Ma-Sao Francisco do Maranhao;0;0;1;0;0
Ma-Sao Joao Batista;0;0;0;0;0
Ma-Sao Joao do Caru;3;0;9;5;8
Ma-Sao Joao do Paraiso;28;20;33;35;26
Ma-Sao Joao do Soter;9;1;1;3;3
Ma-Sao Joao dos Patos;22;5;8;8;6
