Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Rr-Sao Joao da Baliza;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Sao Luiz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Uiramuta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Abaetetuba;0;0;0;0;0;3;2;2;0;0;0;0;0;0;0;0
Pa-Abel Figueiredo;6;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Acara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Afua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Agua Azul do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Alenquer;10;8;7;0;6;7;0;0;0;3;0;0;0;1;1;1
Pa-Almeirim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Altamira;60;34;16;10;5;7;6;4;0;0;0;0;0;0;0;0
Pa-Anajas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ananindeua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Anapu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Augusto Correa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Aurora do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Aveiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Bagre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Baiao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Bannach;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Barcarena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Belem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Belterra;61;61;67;67;40;44;24;15;17;8;8;10;8;7;1;1
Pa-Benevides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Bom Jesus do Tocantins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Bonito;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Braganca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Brasil Novo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Brejo Grande do Araguaia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Breu Branco;2;1;2;1;2;1;0;0;0;0;0;0;0;0;0;0
Pa-Breves;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Bujaru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Cachoeira do Piria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Cachoeira do Arari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Cameta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Canaa dos Carajas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Capanema;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Capitao Poco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Castanhal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Chaves;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Colares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Conceicao do Araguaia;52;29;27;26;7;2;3;5;1;0;2;2;0;1;3;0
Pa-Concordia do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Cumaru do Norte;61;36;4;3;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Curionopolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Curralinho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Curua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Curuca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Dom Eliseu;206;150;154;89;51;56;24;23;9;7;1;0;3;0;0;1
Pa-Eldorado do Carajas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Faro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Floresta do Araguaia;53;43;44;18;6;4;5;3;0;0;0;0;0;0;0;0
Pa-Garrafao do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Goianesia do Para;55;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Gurupa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Igarape-Acu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Igarape-Miri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Inhangapi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ipixuna do Para;67;51;45;16;3;2;1;0;1;0;0;0;0;0;0;0
Pa-Irituia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Itaituba;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Itupiranga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Jacareacanga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Jacunda;0;5;6;6;6;7;5;5;4;5;4;4;5;3;5;6
Pa-Juruti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Limoeiro do Ajuru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Mae do Rio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Magalhaes Barata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Maraba;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0
Pa-Maracana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Marapanim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Marituba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Medicilandia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Melgaco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Mocajuba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Moju;14;7;5;6;5;4;2;0;0;0;0;0;0;0;0;0
Pa-Mojui dos Campos;54;42;40;30;7;5;3;0;0;0;0;0;0;0;0;0
Pa-Monte Alegre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Muana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Nova Esperanca do Piria;34;22;10;0;0;0;1;2;0;0;0;0;0;0;0;0
Pa-Nova Ipixuna;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Pa-Nova Timboteua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Novo Progresso;17;6;11;16;6;9;10;12;5;17;10;5;1;1;2;2
Pa-Novo Repartimento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Obidos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Oeiras do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Oriximina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ourem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ourilandia do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Pacaja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Palestina do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Paragominas;394;264;374;355;279;153;112;156;108;73;54;32;35;9;9;6
Pa-Parauapebas;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Pa-Pau D Arco;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Peixe-Boi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Picarra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
